nombre,tipo,ciudad,barrio,link,Precio,Área,Baños,Habitaciones,Entrega,Parqueaderos,Estudio,cuarto_util
Montpellier Apartasuites,Aparta Suites,Caldas,,https://www.informeinmobiliario.com/aparta-suites-venta-caldas/proyecto/1204,$ 115.700.000,21.0,1,1,No info,No info,No info,No info
Ferratore,Apartamentos,La Estrella,La Tablaza,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-la-tablaza/proyecto/1412,$ 212.000.000,50.0,2,2,No info,No info,1,No info
Luna del Cerro,Apartamentos,Medellín,Robledo,https://www.informeinmobiliario.com/apartamentos-venta-medellin-robledo/proyecto/1315,$ 210.500.000,51.0,2,3,2025,No info,No info,No info
Entreprados,Apartamentos,San Antonio de Prado,,https://www.informeinmobiliario.com/apartamentos-venta-san-antonio-de-prado/proyecto/1047,$ 188.000.000,49.0,1,2,2024 - 2025,No info,No info,No info
Portón Del Norte,Apartamentos,Copacabana,Loma Los Álvarez,https://www.informeinmobiliario.com/apartamentos-venta-copacabana-loma-los-alvarez/proyecto/998,$ 212.885.600,68.0,2,3,Inmediata,1,No info,No info
Vidanta,Apartamentos,Bello,Terrasol,https://www.informeinmobiliario.com/apartamentos-venta-bello-terrasol/proyecto/1114,$ 191.400.000,57.0,2,3,Inmediata - 2024,No info,1,No info
Entrebosques,Apartamentos,Bello,Niquia,https://www.informeinmobiliario.com/apartamentos-venta-bello-niquia/proyecto/1256,$ 194.900.000,54.0,2,3,2024 - 2025,No info,1,No info
El Carmen Colonial,Casas,El Carmen de Viboral,Campo Alegre,https://www.informeinmobiliario.com/casas-venta-el-carmen-de-viboral-campo-alegre/proyecto/1006,$ 186.902.100,55.0,2,3,No info,No info,1,No info
Alerce,Apartamentos,Risaralda,Dosquebradas,https://www.informeinmobiliario.com/apartamentos-venta-risaralda-dosquebradas/proyecto/1507,$ 167.200.000,40.0,1,2,No info,No info,No info,No info
Nogales De Belverde,Apartamentos,Bello,Terrasol,https://www.informeinmobiliario.com/apartamentos-venta-bello-terrasol/proyecto/964,$ 183.000.000,48.0,2,3,2025,No info,No info,No info
Nogales De Belverde,Apartamentos,Bello,Terrasol,https://www.informeinmobiliario.com/apartamentos-venta-bello-terrasol/proyecto/964,$ 204.800.000,54.0,2,3,2025,No info,No info,No info
Pino Azul,Apartamentos,Rionegro,V. Fontibon,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-fontibon/proyecto/1213,$ 165.996.000,51.0,2,3,2025,No info,No info,No info
Aires de Palermo,Apartamentos,Bogotá,,https://www.informeinmobiliario.com/apartamentos-venta-bogota/proyecto/1448,$ 163.328.000,48.0,1,2,2025,No info,No info,No info
Siembra,Apartamentos,Bello,Paris,https://www.informeinmobiliario.com/apartamentos-venta-bello-paris/proyecto/952,$ 160.425.100,38.0,1,2,2025,No info,No info,No info
